unit_buy,unit_sell,same,npair,v_out
件,T,0,7,5969249.725
套,瓦,0,3,5967523.6
GRP,瓶,0,2,5920586.6590625
米,块,0,64,5907896.548232421
根,公斤,0,25,5906755.779926758
只,kg,0,78,5899446.405648346
根,EA,0,39,5898025.655731201
平方,M2,0,9,5856429.640000001
个,千只,0,26,5838249.44078125
卷,PCS,0,55,5824308.099215928
KM,千米,0,10,5819167.03671875
㎡,平方,0,16,5807390.956875
付,只,0,96,5806370.642414856
元,月,0,8,5786645.16
包,吨,0,32,5779899.530390626
枚,千克,0,5,5776938.76917984
立方米,㎡,0,5,5773120.7734375
1CA,罐,0,28,5760326.922837687
批,票,0,9,5757911.6275
kW·h,户,0,1,5751301.25
支,袋,0,55,5737211.158000641
PC,支,0,19,5732660.309558106
斤,批,0,9,5720024.9978125
m,UNKNOWN,0,5,5709884.139993897
包,套,0,71,5706367.257923584
卷,件,0,137,5704641.624226685
只,KGS,0,2,5701341.55
T,PC,0,1,5696088.84
瓦,UNKNOWN,0,3,5694163.3984375
米数,套,0,1,5692703.88
方,M3,0,2,5673328.5
ST,个,0,11,5667057.295716553
UNKNOWN,季度,0,11,5663819.56125
桶,L,0,30,5656872.543803711
门,台,0,1,5653102
条,包,0,73,5645553.811004371
次,套,0,109,5634843.201651611
张,箱,0,21,5623318.609267578
付,台,0,71,5620296.210534669
千件,ea,0,1,5617443.05
筒,筒,1,75,5610797.547195015
条,PCS,0,59,5609941.79172531
卷,张,0,96,5586645.204499187
支,式,0,11,5575292.41
大桶,Kg,0,1,5569213.875
KWH,个,0,1,5563394.25
支,KG,0,66,5556496.031926575
m2,方,0,1,5550014
平米,套,0,19,5547259.767285156
元,吨,0,7,5544581.46
平米,张,0,9,5544531.3821875
批,PC,0,16,5534763.484741211
KM,盘,0,14,5493890.110224609
kg,统,0,1,5492000
桶,件,0,115,5478467.63611908
瓶,kg,0,91,5473566.202717438
台,只.,0,2,5456818.59
艘次,吨,0,3,5449649.3775
只,桶,0,65,5443538.849507675
12瓶箱,罐,0,2,5428673.466308594
m,兆瓦时,0,1,5424004
千瓦时,kw/h,0,2,5418236.75
EACH(个),套,0,2,5399038.4
PCE,盒,0,1,5387904.5
卷,圈,0,12,5372374.580195313
UNKNOWN,吨(MT),0,1,5370763.75
套,年,0,33,5342891.399999999
立方,平方米,0,15,5341679.805625
UNKNOWN,季,0,14,5330343.314975587
千克,条,0,39,5324703.143120117
万张,公斤,0,4,5323177.929199219
UNKNOWN,KW.h,0,1,5317251.65
杯,杯,1,14,5312678.117021485
升,kg,0,17,5294965.83
瓶,L,0,9,5293202.401875
克,批,0,4,5259716
片,KG,0,31,5255740.643847045
批,份,0,17,5241129.435722656
g,件,0,2,5225657.399902344
块,支,0,37,5209972.889939575
UNKNOWN,个/月,0,1,5193202.8
公升,公斤,0,6,5187153.939995117
扎,米,0,20,5177169.038398437
KG,码,0,9,5158314.3434375
件,副,0,53,5154587.76685669
台 .,台.,0,5,5141604.71
m2,平方米,0,10,5134751.310000001
支,克,0,5,5126920.52
套,床,0,27,5101788.824316406
张,平米,0,12,5096629.6484375
卷,只,0,169,5094710.859582215
克拉,箱,0,1,5093570.66
包,颗,0,1,5086613.27
罐 .,罐.,0,1,5080150
个,千个,0,34,5077006.964033203
千支,件,0,12,5075909.100324706
副,件,0,54,5067900.299821835
十亿,包,0,1,5061700
次,单,0,7,5058581.349980469
卷,台,0,71,5057147.3246875
支,组,0,41,5056155.466110229
盒,丸,0,1,5054400
度,件,0,10,5044268.390371094
Kg,个,0,26,5038621.800009766
千件,PCS,0,15,5033253.630000001
平方,张,0,50,5030561.100356446
度,月,0,10,5023927.269394532
圈,米,0,25,5009017.928808594
月,吨,0,13,4996282.951562501
UNKNOWN,W,0,2,4991967.95
箱,根,0,61,4988233.959168701
sf,SF,0,1,4979760.42
m,台,0,7,4971612.149999999
盒（铁盒）,盒,0,1,4946400
个,袋,0,146,4944044.36913105
万度,千瓦时,0,1,4936084.19
千克,瓶,0,62,4931466.033458404
公斤,千瓦时,0,2,4929724.2578125
千米,批,0,4,4923311.66
KM,PCS,0,4,4906238.085
码,片,0,4,4894494
盆,个,0,2,4884858.02
升,立方,0,1,4876933.34
项,块,0,5,4875081
GE,桶,0,3,4869499.9375
车,吨,0,15,4853867.7440625
付,千克,0,11,4844323.839996338
UNKNOWN,座,0,3,4843666
米,樘,0,9,4835755.0515625
期,期,1,6,4835673.3
个,船/套,0,1,4826298.11
m2,平,0,1,4821087.5
瓦,套,0,4,4818168.271875
盒,条,0,49,4807595.732377936
卷,条,0,64,4804807.941736145
面,KWH,0,1,4804791.49
1PC,件,0,280,4804648.257808427
万kwh,万千瓦时,0,1,4785167.15
打,条,0,6,4784747.5490625
千个,只,0,15,4775057.26913086
PIA,支,0,1,4771095.1875
盒,板,0,10,4767688.462896729
个,兆瓦时,0,1,4758842.13
㎡,个,0,35,4736897.879316712
KG,张,0,32,4735907.767965699
罐,听,0,23,4731155.552534122
米,张,0,48,4722161.197636729
千克,十亿,0,2,4712000
千件,千,0,9,4705551.724140625
平方米,支,0,21,4694530.794726563
KG,EA,0,20,4690975.813923035
平方米,粒,0,3,4687058.58
吨,辆,0,5,4686503.967499999
组,批,0,26,4680412.42
双/件,双,0,2,4680167.32
15KG/桶,桶,0,1,4676950
付,UNKNOWN,0,32,4674271.669787979
千克,令,0,4,4667138.35
支,包,0,96,4666013.581241341
千个,颗,0,2,4656515.8175
批,EA,0,30,4654623.907543945
合,合,1,6,4652044.550000001
瓦,万千瓦时,0,1,4651374
吨,副,0,15,4642134.5196875
条,只/套,0,1,4617498.82
米,次,0,10,4612085.879765625
吨,孔,0,1,4605332.74
平方,卷,0,46,4604055.420805306
项,期,0,5,4597266.446875
个,粒,0,38,4592191.407643433
立方,片,0,6,4591196.85546875
万个,个,0,7,4579891.090023994
UNKNOWN,根,0,41,4572551.796799317
艘,UNKNOWN,0,1,4570000
台,座,0,18,4559055.526245117
公斤,万枚,0,1,4557583
票,项,0,10,4555877.53625
升,UNKNOWN,0,70,4555691.592177124
件,项,0,54,4549593.792321777
Unit,台,0,1,4544400
月,平方,0,2,4543784.25
块,吨,0,35,4518213.473574218
箱,本,0,68,4517554.849536133
罐,盒,0,54,4493105.129710387
套,盏,0,33,4485653.295712929
EA,组,0,3,4478673
个,百个,0,4,4472784.84
T,平方米,0,3,4465144.499993896
张,把,0,74,4463231.160061149
千支,千只,0,4,4455847.709765625
个,盏,0,29,4447459.500571289
ZHI,支,0,3,4438694.25
平方米,千个,0,2,4429709.8
张,本,0,70,4422328.745691529
令,卷,0,5,4415781
TRY,栏,0,1,4410336.48
组,元/AH,0,1,4407236.34
PAI,桶,0,2,4405749.28
卷,批,0,64,4401816.819979705
套,箱,0,68,4368657.381776122
PC,KG,0,3,4357299.930000001
千瓦时,kW.h,0,3,4353331.765625
千个,PCS,0,14,4340423.246718749
提,UNKNOWN,0,25,4338734.361474152
箱,双,0,25,4323801.463076782
立方米,平方,0,11,4316820.825195313
套,卷,0,82,4305842.369705524
只,K,0,4,4304269.969946289
平方,批,0,27,4302133.41375
桶,批,0,32,4292615.224375
kg,g,0,39,4282783.56486908
UNKNOWN,*,0,2,4275824
台,张,0,194,4269831.889248047
套,t,0,2,4253207.33
UNKNOWN,组,0,35,4243212.757539063
t,千克,0,3,4242543.740783691
片,米,0,41,4240969.372556075
平方米,m3,0,6,4238406.5
月,套,0,9,4234995.140000001
m,套,0,19,4224073.677109376
吨,柜,0,4,4219992.83
付,件,0,83,4219923.883324356
瓶,听,0,24,4185626.257082519
月,个,0,21,4172088.71201416
千克,T,0,4,4165850.400024414
根,张,0,17,4160516.210035705
SET,台,0,14,4150431.855
克,KG,0,5,4148779.11
月,辆,0,11,4148151.1484375
瓶,pc,0,1,4121524.96
PCE,台,0,3,4114622.17
件,卷,0,115,4112490.478543167
套,平方,0,36,4111797.699726562
公斤,块,0,85,4106612.924165649
块,克拉,0,2,4106272.74
Set,台,0,1,4102490
包,斤,0,35,4094003.471031952
盒,批,0,61,4090261.628579254
Wp,千瓦时,0,1,4089611
pcs,UNKNOWN,0,21,4084908.293474121
公斤,打,0,5,4082999.207399292
套,兆瓦时,0,2,4078647
个,元,0,9,4071749.40015625
只,卡,0,3,4068951.285140991
份,件,0,11,4067483.475439453
米,片,0,48,4067300.49534317
副,台,0,23,4055746.450048828
件,平方尺,0,1,4051732.5
1SA,公斤,0,8,4042505.33220398
台,包,0,61,4040982.118944092
立方米,公斤,0,10,4040940.585820313
月,件,0,12,4023561.72375
千个,K,0,4,4022077.46
桶,罐,0,26,4018922.733728027
百米,RL,0,1,4002969
批,0,0,1,4000000
罗,支,0,2,3997558.364453125
只,瓶,0,100,3997401.045037088
pcs,只,0,57,3990966.637144013
盒,克,0,8,3988823.146225586
项,只,0,12,3987724.510783692
只,卷,0,176,3987262.686212463
吨,万付,0,1,3984498
万只,支,0,4,3972870.1
盒,根,0,37,3934842.977442627
只,万只,0,7,3930898.92
平方,千克,0,10,3923801.95
双,UNKNOWN,0,57,3916490.022420225
m3,㎡,0,2,3914863.56
公斤,罐,0,12,3911433.35125
箱,㎡,0,6,3907331.38
百万千焦,百万千焦,1,1,3906038.6875
条,支,0,59,3902901.420036621
K,个,0,14,3901939.57963623
㎡,米,0,13,3893818.340839844
十亿,十亿,1,1,3892000
箱,台,0,118,3888911.792695313
g,kg,0,2,3884128.390625
件,式,0,13,3881563.33328125
KM,套,0,13,3876079.095012207
柱,片,0,6,3874826.3
台套,千瓦时,0,1,3874440
粒,pcs,0,1,3873755
吨,罐,0,12,3868926.880800781
TON,KG,0,4,3856255.9375
套,度,0,10,3847217.184570313
Kg,箱,0,8,3844433.209179687
元,元,1,10,3840743.695625
口,井次,0,2,3830943
kW·h,千瓦时,0,1,3830610.40625
吨,樘,0,5,3828754.5146875
米,项,0,37,3819827.772025147
批,双,0,12,3819119.78125
块,批,0,33,3818865.938740234
pic,UNKNOWN,0,1,3816222.75
平方英尺,块,0,1,3814829.25
付,架,0,3,3799415.900013428
罐,支,0,27,3799411.489361878
双,副,0,73,3792729.307631836
PCS,米,0,28,3765197.612531738
PC.,套,0,3,3763403.15
平方,扇,0,1,3739516.5
盏,盏,1,27,3739242.321875
GJ,㎡,0,1,3737834.375
1,份,0,2,3728621.86
列次,天,0,1,3726800
PCS,千个,0,4,3721936.95
樘,平方,0,11,3717633.6953125
PCS,千克,0,23,3715095.45875
米,扎,0,12,3707979.21296875
立方米,条,0,9,3700942.072265625
件,付,0,78,3700401.329475708
CAR,CAR,1,6,3694396.514570312
PC.,个,0,2,3691776.46
个,本,0,119,3685901.637551574
KG,10米,0,1,3682205.74
PCE,PCE,1,8,3676029.188378906
KWH,元,0,4,3669919.0234375
合,kg,0,2,3669766.199951172
卷,平方,0,31,3666743.389257812
kwh,件,0,5,3666212.79625
kW·h,kw?h,0,1,3659745.875
案,案,1,1,3651920
节,颗,0,3,3644895.73
英尺,平方英尺,0,2,3643730.6
2:毫米,只,0,1,3643396.39
台,人份,0,1,3639906.67
件,车,0,1,3638730
千立方米,UNKNOWN,0,1,3629524.75
公斤,千只,0,4,3629368.169999999
本,册,0,8,3624238.5
Kg,只,0,18,3624207.413110352
付,辆,0,6,3622171.12
kW·h,UNKNOWN,0,3,3618640.03125
卷,千只,0,1,3617480
T,Pc,0,1,3617382.75
季度,季,0,1,3614598.64
套,P,0,1,3606012
盒,Kg,0,6,3603373.66003418
份,个,0,30,3599144.982688179
吨,PC,0,32,3591273.890510177
只,船套,0,4,3589308.23
万只,台,0,1,3587144.25
批,本,0,56,3585737.697906189
KWH,台,0,6,3583700.65
条,项,0,12,3579310.93
KM,根,0,21,3574154.369746094
条,EA,0,39,3571115.267617188
1,个,0,6,3563861.38987793
UNKNOWN,面,0,4,3563010.01
-,-,1,10,3559046.6015625
公斤,磅,0,5,3558594.109375
批,元,0,9,3557055.52
斤,千克,0,8,3554935.01859375
KW,kwh,0,1,3548623.32
根,PC,0,24,3548004.037371826
t,KM,0,1,3546281
张,条,0,27,3535658.507225151
条,组,0,13,3533911.280004883
Kg,套,0,21,3527674.4
罐,L,0,6,3521663.67625
个,架,0,8,3520872.4
箱,平米,0,5,3520213.2
块,kWh,0,1,3512084.17
樘,套,0,25,3502563.239492187
张,米,0,64,3502181.40090332
平方英尺,套,0,4,3501165.52
万度,度,0,4,3489181.40625
公斤,立方,0,8,3482529.2625
万条,PAK,0,1,3479905.75
公斤,万米,0,2,3476161.39
包,只,0,107,3476151.849723663
PCS,组,0,11,3461356.02
件,面,0,2,3454755.03
T,kg,0,22,3452240.043496094
平方米,无,0,2,3452118.02
米,MW,0,2,3449408.54
PCS,吨,0,4,3446155.61
双,千克,0,12,3445289.563769531
箱,壶,0,4,3443896.0784375
Y,票,0,1,3442687.060546875
克,吨,0,3,3440827.41
条,卷,0,105,3439395.028483925
K,片,0,1,3436830
立方,套,0,16,3435150.340390625
张,包,0,27,3425092.91887207
KWH,千度,0,1,3415773.79
项,元,0,11,3407314.964375
盒,块,0,37,3399871.659931031
桶,台,0,54,3395359.20053711
立方,平方,0,8,3393226.998535156
T,公斤,0,32,3386736.540048828
UNKNOWN,KW,0,3,3381054.36875
重量箱,块,0,1,3373388.49
片,公斤,0,36,3368392.668286133
只,包,0,123,3363618.519061088
千米,KWH,0,1,3360446.02
公斤,副,0,28,3353793.497255859
元/公里,元/公里,1,1,3350588
kW.h,兆瓦时,0,1,3343800
PCS,条,0,45,3339082.140098266
平方米,次,0,11,3328103.153769531
台,平方,0,27,3327313.960195312
UNKNOWN,式,0,14,3323277
KGS,个,0,1,3317846.42
立方米,批,0,17,3315788.670800781
件(1*12),箱,0,1,3305230.84
具,只,0,21,3300343.619873047
KG,项,0,7,3295448.875
度,小时,0,1,3295366.34
组,吨,0,15,3279906.30375
米,EA,0,36,3277003.718493652
罐,kg,0,12,3275134.462275162
间,UNKNOWN,0,16,3272030.1875
张,令,0,9,3270261.08
斤,张,0,3,3267939.85
台,平方米,0,42,3253032.747314453
平方米,樘,0,9,3250949.9125
批,平米,0,7,3247056.692666016
盒,中盒,0,3,3243723.58
万支,支,0,13,3238328.506132812
层,套,0,3,3234445
幅,幅,1,56,3230257.286416016
月,1,0,9,3228242.86
件数,台,0,5,3225134.1
UNKNOWN,片,0,28,3224795.902695313
期,台,0,6,3223869
片,EA,0,34,3219037.727349854
批,桶,0,22,3214838.203742676
UNKNOWN,枚,0,1,3207945.62
块,条,0,46,3199557.916699829
件,升,0,18,3195508.250017395
UNKNOWN,平方,0,14,3190439.393789062
片,kw.h,0,1,3182784
EA,pc,0,1,3182485.68
箱,EA,0,21,3182071.0978479
T,套,0,10,3179287.1325
瓶,KG,0,63,3178326.096846924
度,kw.h,0,2,3177010.805
块,pcs,0,18,3176978.408017578
项,KG,0,3,3168201.75
UNKNOWN,PC,0,21,3166483.962218704
码,件,0,13,3163766.470009766
套,w,0,1,3160120
平方英尺,件,0,9,3148507.33
km,m,0,1,3148096.86
台,路,0,9,3142233.520019531
吨,250kg/桶,0,1,3141975
把,张,0,42,3136450.236296387
平方米,立方米,0,9,3131146.96484375
KWH+,千瓦时,0,1,3127680
千克,粒,0,4,3124400.381347656
式,个,0,12,3120577.530625
瓶,立方,0,3,3118320
公分,套,0,2,3113574.6875
付,条,0,18,3106485.569946289
单,个,0,3,3090033.857666016
平方,台,0,21,3084980.970097656
方,kg,0,1,3083796.92
pcs,把,0,34,3083117.116638449
次,1,0,15,3082970.899946289
箱,把,0,44,3078804.428346405
KW.H,UNKNOWN,0,1,3072304
克拉,对,0,1,3070134.54
张,盒,0,28,3064236.0190625
千瓦时,万千瓦时,0,1,3057967.76953125
枚,件,0,10,3057942.29
船套,艘,0,1,3052800
台,桶,0,78,3049372.437539063
千克,千件,0,8,3028178.05125
升,公升,0,4,3026926.140976562
台,TAI,0,32,3023860.17307312
罐,袋,0,38,3019956.724520111
把,PC,0,31,3018278.32757431
KG,双,0,8,3016969.970922851
UNKNOWN,公里,0,3,3015049.53125
平方,m2,0,15,3014311.14
支,平方米,0,22,3012135.388359375
张,份,0,22,3011505.187929687
户,户,1,4,3011196
年,项,0,50,3009601.33828125
台,式,0,30,3003605.080161133
台,卡,0,4,2999842.489952087
万发,发,0,5,2999229.12375
套,面,0,25,2998918.663085938
公斤,付,0,41,2988306.329970703
千只,K,0,2,2988056.2
UNKNOWN,本,0,33,2986918.989179687
项,EA,0,11,2986462.478059082
盒,只,0,98,2978952.453175964
kg,㎡,0,14,2976679.6115625
批,平方,0,14,2976236.997558594
公斤,pcs,0,20,2972093.851741943
吨煤,吨,0,2,2968635.89
UNKNOWN,PU,0,1,2966640
斤,份,0,3,2966611.265625
1ZH,只,0,16,2965857.457378387
升,批,0,10,2964155.090029297
m3,件,0,3,2962011.999633789
天,UNKNOWN,0,47,2960085.04
批次,车,0,1,2950000
套,部,0,21,2948809.479980469
基准吨,吨,0,1,2946478.62
批,克,0,2,2940757.95125
平方米,平方数,0,1,2925430.96
根,付,0,23,2924220.189992981
千瓦时,千瓦/时,0,2,2919988.138125
只,roll,0,1,2912434.89
次,票,0,9,2909892.7709375
升,公斤,0,42,2905420.806098633
套,颗,0,15,2899296.670000915
码,公斤,0,14,2897847.090214844
台/套,船套,0,1,2893700
罐,升,0,6,2892284.879638672
无,项,0,4,2885228
米,副,0,19,2880491.659606934
井次,井次,1,2,2878571.33
PCS,本,0,71,2875706.189510402
箱,张,0,59,2874009.022255249
EA,项,0,4,2873409.91
千件,千克,0,13,2867756.48375
式,项,0,9,2867148
CAR,瓶,0,9,2866803.330690918
栋,套,0,1,2863710
KWH,吨,0,2,2862053.850048828
亿,盒,0,1,2861760
m,根,0,12,2859661.54
千瓦时,宗,0,1,2848472.75
卷,吨,0,24,2848364.245019531
UNKNOWN,扇,0,1,2842288.125
Kg,平方米,0,3,2834643.39
只,副,0,28,2831653.089968033
kg,樘,0,4,2828367.66
樘,平米,0,5,2826702.700195313
Squ. meter,平方米,0,1,2824425.5
其他,UNKNOWN,0,2,2823586.35
千克,项,0,5,2820662.046875
罐,件,0,31,2818522.422358398
套,平米,0,16,2809637.0590625
千粒,千支,0,1,2809263.5
立方,张,0,16,2808797.084277344
块,根,0,51,2803105.982733155
盒,桶,0,54,2798931.377127991
箱,听装,0,1,2787477.375
ea,吨,0,1,2785529.5
双,PAA,0,6,2785213.743774414
季,UNKNOWN,0,8,2782017.3
万只,千个,0,1,2775341.99
Piece,罐,0,3,2773223.15125
箱,联,0,3,2772294.76953125
CT,把,0,1,2768275
包,台,0,44,2757634.600043946
付,批,0,19,2750804.214453125
床,套,0,17,2747230.779729615
平方英尺,千克,0,3,2745347.58
期,月,0,6,2743122.82
盒,M2,0,1,2739246.77
次,千克,0,3,2738150.05
英尺,个,0,3,2733869.810000001
瓶,升,0,41,2732146.900761719
码,千克,0,8,2730612.1875
节,套,0,20,2726261.6875
-,UNKNOWN,0,6,2723133
PCS,式,0,6,2718598
m3,组,0,1,2714807.5
UNKNOWN,T,0,6,2711421.56484375
UNKNOWN,小时,0,6,2708123.89
卷,EA,0,39,2706968.359291992
条,度,0,1,2706849.75
kwh,批,0,2,2702445.625
千,个,0,24,2698129.879726563
片,条,0,52,2697484.44262146
UNKNOWN,包,0,62,2694645.491841735
公里,项,0,1,2691212.48
粒,件,0,43,2690808.399765625
台/套,台,0,6,2681918.009765625
无,无,1,7,2681786.01
M,WP,0,1,2679902.11
包,KG,0,32,2678774.182108765
箱24,箱,0,3,2676320.0028125
天,次,0,13,2675505.92
个,樘,0,9,2675361.82
圈,套,0,3,2675165
立方米,件,0,21,2672846.853144531
Piece,桶,0,1,2669005.5
公升,公升,1,7,2668437.870097351
1BA,包,0,15,2664710.210388184
卷,片,0,47,2659799.221040955
间隔,个,0,1,2659531
个,笔,0,8,2656170.349609375
件,Pcs,0,3,2653929.508105469
千克,罐,0,6,2652171.818359375
ST,辆,0,1,2651011.97
PR,副,0,1,2642203.04
副,批,0,11,2639274.14
加仑,个,0,2,2637146.18
T,UNKNOWN,0,6,2625454.347890625
NU,台,0,3,2624343.5
UNKNOWN,KWH,0,7,2618833.735229492
片,枚,0,5,2612220.89
万发,kg,0,1,2609851.55
双,包,0,32,2606171.664790048
卷,千克,0,29,2605697.704412231
箱,平方米,0,16,2605243.6134375
颗,张,0,2,2604377.35
千只,批,0,4,2593788.98
期,笔,0,2,2585463.455
件,屏,0,1,2581164.03
卷,pcs,0,21,2578462.321999817
平方米,枚,0,6,2575655.551953125
吨,标吨,0,1,2573461.8
樘,㎡,0,7,2571499.930625
PC,桶,0,5,2570429.22625
批,卷,0,39,2569787.23891388
米,包,0,44,2569028.154793701
个,克,0,10,2566031.986347657
箱,排,0,3,2559286.36875
件,m,0,10,2558829.335862427
平米,吨,0,8,2557110.57
艘,艘,1,4,2556952.5
项,场,0,4,2550046.391875
M,件,0,12,2547678.790029297
套,段,0,1,2544000
吨,基吨,0,1,2538378
基,UNKNOWN,0,1,2538274.45
平米,㎡,0,13,2538039.200039063
套,KKWH,0,2,2537360
公斤,份,0,17,2537299.339931641
公斤,㎡,0,17,2534861.030625
万粒,只,0,9,2525942.494812012
部,个,0,15,2524990.620026398
提,盒,0,16,2521391.609785156
杯,组,0,1,2519909.46
包,罐,0,22,2515803.442527962
公里,KM,0,2,2514669.95
项,m3,0,1,2514500
粒,百粒,0,1,2506512.07
台,基,0,2,2490600
块,KG,0,10,2488420.37984375
T,平方,0,1,2488350
床,张,0,4,2487768.5325
km,Km,0,3,2482194.53375
次,PC,0,6,2481548.329990234
g,盒,0,7,2476403.017993164
500g,瓶,0,8,2474747.2
UNKNOWN,KM,0,4,2474120.0578125
卷,克,0,2,2462889.31
KPCS,千只,0,1,2462068.5
立方,件,0,7,2452372.015097656
UNKNOWN,台套,0,2,2448279.3
厅,UNKNOWN,0,2,2443805.51751709
块,KWH,0,2,2434566
支,liter,0,1,2433222.25
袋,EA,0,4,2425699.551757813
轴,轴,1,9,2422180.829882813
辆,笔,0,2,2420290.625
块,组,0,20,2419549.606497497
套,set,0,20,2415431.28078125
万只,批,0,2,2414421.5
双/件,件,0,2,2411521.50375
PCS,盒,0,108,2408705.473740273
台,船套,0,7,2407483.11
件,平方,0,17,2402990.349609375
CM,公斤,0,1,2402776.02
百,百,1,3,2402108.549804688
本,批,0,36,2388855.940097656
KW.h,KW.H,0,1,2386379.201171875
t,台套,0,1,2380000
kW·h,KW·h,0,2,2378588.75
UNKNOWN,站,0,4,2378403.14
千瓦时,千瓦里,0,1,2375723.09375
千粒,KPCS,0,1,2374648.49
KM,公斤,0,4,2374017.380859375
副,片,0,16,2372128.458203125
ＫＧ,KG,0,2,2369312.8
小时,UNKNOWN,0,8,2369088
M,批,0,6,2366187.615
块,点,0,3,2360226.2025
度,KW,0,1,2359855.5
吨,颗,0,2,2355481.399902344
卷,UNKNOWN,0,85,2351674.973490219
千件,套,0,50,2351149.209191895
条,床,0,30,2345440.345048828
千克,包,0,25,2344653.255149231
份,期,0,1,2343847
CA,箱,0,1,2341294.5
壶,吨,0,1,2341127.16
千只,支,0,9,2337462.044765625
项,年,0,12,2336248.441875
套,式,0,29,2327990.07
条,码,0,4,2327962.053222656
千升,件,0,1,2327598
吨(MT),千克,0,3,2326086.5
辆,只,0,27,2323716.084592285
1 批,桶,0,1,2323074.557617188
令,T,0,2,2320856.25
㎡,架,0,1,2317950
台,Set,0,3,2317724.44
项目,套,0,1,2316412
粒,万粒,0,1,2316268.42
KG,卷,0,49,2315199.560685882
个,个(EA),0,1,2305792.9
列,套,0,1,2301456
套,双,0,39,2294263.326987305
月,吨(MT),0,1,2291582.75
千瓦时,KW/H,0,2,2276815.37
kg,千,0,3,2276500.30078125
套,Set,0,3,2275127.79
千瓦/时,UNKNOWN,0,1,2273838.71875
KG,组,0,8,2271365
吨,M2,0,9,2262278.793447265
平方,公斤,0,14,2262211.549963379
张,K,0,1,2255521.25
提,瓶,0,13,2254830.067237854
合,瓶,0,5,2253049.5
平方米,本,0,28,2251604.791184082
吨,吨公里,0,1,2250640
kWh,kwh,0,6,2246440.490493164
听,箱,0,18,2239040.973632813
把,吨,0,17,2236376.71296875
1KG,袋,0,1,2231036.6484375
台,*,0,3,2229528.869140625
L,瓶,0,8,2228789.845048828
吨,听,0,5,2226741
千瓦,度,0,3,2221168.9159375
Kpcs,KPCS,0,1,2215277.92
12瓶箱,件,0,2,2211566.125
座,套,0,8,2210477.009765625
m,件,0,9,2209939.129882813
千,只,0,31,2209901.5209375
柱,柱,1,9,2208139.7
件,斤,0,37,2197486.676369667
份,张,0,18,2196130.191898804
公斤,PNL,0,1,2195355.75
公斤,500克,0,1,2191295.42
吨,吨钢,0,1,2189472.95
辆,次,0,11,2186182.4765625
笔,次,0,13,2182983.012512207
枚,张,0,14,2182238.774379272
笔,月,0,10,2181912.320605469
台班,台班,1,4,2174468
吨,格,0,1,2173891.5
KW,KW,1,2,2171600
包,册,0,1,2160755.44
本,件,0,31,2159643.556532249
座,座,1,13,2156246.882493896
KG,250KG/桶,0,2,2156000
1,1,1,6,2154599.25999999
T,米,0,10,2153738.41203125
吨,床,0,4,2150442.5
吨,架,0,8,2149975.400224609
M,条,0,12,2146971.189824219
把,UNKNOWN,0,101,2145977.067309456
K,只,0,9,2138853.664975586
包,提,0,36,2125696.894412308
批,包,0,35,2125295.944366455
支,pcs,0,25,2123031.418264161
平方米,平,0,5,2122386
kg,块,0,49,2122298.351616974
只,piece,0,41,2119480.553189544
平方英尺,个,0,10,2114595.505043945
台,kW·h,0,2,2108184.15
T,台,0,2,2106274
立方,卷,0,4,2101235.9265625
套,m,0,14,2099440.160097656
式,台,0,11,2097497.20390625
吨,kw,0,1,2096186.375
公里,条,0,2,2095948.81
千件,千支,0,1,2091715.97
个,平方,0,29,2090579.088632812
吨,TAO,0,2,2088389.92
m3,面,0,1,2087850
米,千千瓦时,0,2,2085353.625
m2,套,0,8,2084031.810003662
套,L1/R1,0,1,2082844
米,千瓦时,0,2,2079965.125
个,对,0,108,2078139.849371338
克,支,0,6,2069311.36
副,吨,0,3,2069182.76
片,卷,0,44,2065869.08821167
支,EA,0,68,2063861.943305664
只,只(支),0,3,2063492.516113281
台,册,0,3,2058346
基,吨,0,2,2056366.623535156
KWH+,kw.h,0,1,2056346
吨(MT),kg,0,2,2047660
立方米,米,0,21,2046884.206816406
会期,会期,1,2,2046715.8125
张,组,0,24,2042868.26953125
架,台,0,13,2041245.940063477
T90,T90,1,1,2038589.92
米,平方英尺,0,5,2035936.6875
件（3片）,片,0,1,2028298.5
间,间,1,6,2025052.715
季度,UNKNOWN,0,4,2023022
km.h,UNKNOWN,0,1,2019666.43
1KG,盒,0,2,2011708.181297302
平方分米,平方分米,1,1,2010165.75
片,延米,0,1,2009540
板,盒,0,1,2007891
立方,米,0,9,1999560.529663086
份,本,0,19,1998300.377182007
ST,套,0,6,1994441.7578125
箱,刀,0,3,1994432.68
批,把,0,37,1989732.565274048
箱,令,0,20,1989269.43
M,m,0,18,1986037.775864258
Y,码,0,2,1985814.23
m3,平方米,0,5,1985162.66375
无,月,0,9,1980129.29375
吨,度,0,16,1978761.886021118
串,套,0,9,1977051.653125
T,批,0,4,1975725.875
袋,罐,0,33,1974433.824649353
套,M2,0,12,1972471.870361328
Km,KM,0,3,1972266.625
颗,套,0,14,1970844.31
KG,KM,0,1,1970080
卷,M,0,20,1965702.24859375
千克,根,0,22,1963881.672960205
斤,件,0,19,1963572.390450439
平方,块,0,28,1960634.042732849
听,罐,0,19,1956396.627877197
支,付,0,59,1954817.20270874
桶,Kg,0,3,1954170.5625
t,t,1,6,1952062.179985352
EA,袋,0,3,1948445.625
年,次,0,48,1948010.540136719
升,个,0,50,1947758.297805786
