unit_buy,unit_sell,same,npair,v_out
个,EA,0,430,510343564.8847925
克,个,0,14,506597889.9200006
箱,支,0,203,493939800.4126169
吨,吨(MT),0,6,482905617.4370117
kkwh,兆瓦时,0,1,482185810
吨,张,0,475,480919241.1473877
盒,瓶,0,749,479789387.7944818
千瓦时,UNKNOWN,0,201,467552186.5976563
条,件,0,497,465293604.8026249
件,箱,0,492,458072877.4239641
KG,千克,0,232,457834028.5055217
米,码,0,143,456591461.094724
M,M,1,43,456570607.7024266
UNKNOWN,期,0,33,455270599.2990625
组,组,1,337,454195424.8662723
台,只,0,3544,449487028.9234734
T,吨,0,123,442011069.7435254
方,方,1,56,436322135.7809344
码,码,1,186,434437866.2304174
箱,包,0,593,430927029.3874606
台,PCS,0,338,427630553.9926561
PCS,套,0,365,426684854.4462007
件,只,0,1040,421285114.8035506
把,个,0,1192,420450668.6869835
月,月,1,266,418637614.5828681
公斤,个,0,932,416609439.7033303
箱,袋,0,654,416560971.3334547
kg,元/公斤,0,1,412392267.6800011
吨,立方米,0,83,406077768.7088281
件,瓶,0,534,403653858.0339069
元,UNKNOWN,0,78,396120017.2893164
UNKNOWN,批,0,320,395987884.4198804
片,件,0,283,390384061.1090996
件,条,0,367,386726552.4059608
克,件,0,45,385643087.923916
瓶,盒,0,695,374920225.5009624
批,UNKNOWN,0,480,371420571.3277296
桶,升,0,203,367642483.6371693
UNKNOWN,笔,0,90,366741662.6863378
吨,Kg,0,167,362309313.4690055
UNKNOWN,份,0,93,360502398.5336719
张,块,0,146,358820339.2477708
UNKNOWN,元,0,89,355649449.3995117
UNKNOWN,kWh,0,2,352977139.75
平方米,平方,0,229,349665311.7766464
kW.h,kWh,0,1,348441028.98
kg,瓶,0,143,347428902.648324
吨,L,0,42,342025595.3385255
KWH,KWH,1,70,340442966.2237275
ST,UNKNOWN,0,25,329437250.1476173
月,UNKNOWN,0,367,327773878.7981613
支,件,0,549,326800832.7763608
EA,个,0,305,322870762.3687423
PC,辆,0,3,314819883.910001
每一个,每一个,1,21,313828270.298291
个,付,0,153,309127553.714986
平方米,片,0,121,305730265.9675586
箱,UNKNOWN,0,486,304598513.1277022
个,支,0,877,302137880.9836342
UNKNOWN,票,0,111,300582656.7075049
包,包,1,1217,299370197.4176271
吨,平方,0,124,297739738.230791
批,个,0,620,296403650.3747187
EA,套,0,97,290709754.9953092
片,只,0,426,290445022.3035154
箱,盒,0,540,286910264.6199154
UNKNOWN,千瓦小时,0,1,280411158
kW·h,只,0,1,278211527.76
W,千瓦时,0,2,277411129.234375
盒,UNKNOWN,0,462,276869960.4928157
片,平方米,0,34,273296695.198125
片,块,0,222,272620916.3997372
Nm3,吨,0,1,271808130.23
套,枚,0,12,270445278.5727051
千只,个,0,108,269283417.9808779
套,只,0,1928,267606753.488554
批,台,0,388,266553611.324541
颗,颗,1,27,265751659.293678
袋,个,0,132,264043335.4668125
UNKNOWN,单,0,38,263230133.3040379
台,批,0,720,263024783.3279413
盒,支,0,426,262555826.7790647
个,瓶,0,445,256535031.6147042
块,个,0,920,250906141.8175277
副,个,0,140,249847194.9918697
次,项,0,311,249293163.7342138
PCS,片,0,75,248412408.140088
兆瓦时,兆瓦时,1,1,248224349.75
米,个,0,1004,247805235.6507515
KG,包,0,58,246820058.4107413
支,瓶,0,569,245197829.7308203
只,PCS,0,416,243208475.8291247
平方英尺,平方英尺,1,45,240290824.6308764
吨,令,0,79,240260723.8169922
件,米,0,213,239937666.3695014
瓦,块,0,5,238733621
套,块,0,385,238049969.0550653
吨,条,0,178,235321077.3910681
平方米,套,0,149,235103784.3100849
片,套,0,350,235011154.1645788
件,批,0,330,233433096.1441872
套,千克,0,174,232885105.9934093
千瓦时,月,0,33,228158365.2093469
台,项,0,289,228120414.1772071
把,把,1,3675,227641478.8556428
瓶,箱,0,310,224354477.9686795
毫米,片,0,1,223970730.5600001
PC,个,0,199,223068039.8720836
套,吨,0,159,221277462.1736792
公斤,袋,0,246,220821191.5504917
件,盒,0,279,219696283.1468544
个,批,0,545,218541119.2407732
平方米,平米,0,67,218087572.365293
支,套,0,879,216800339.8118001
PCS,pcs,0,84,216723768.7702173
只,UNKNOWN,0,582,215692606.9953043
米,UNKNOWN,0,161,215530351.4489931
吨(MT),吨,0,21,207010297.625
度,万度,0,1,206236098.89
床,个,0,26,202919557.5663086
吨,t,0,99,198947598.2960839
批,件,0,392,198924714.827149
PC,只,0,78,198674127.0004068
项,桶,0,8,197403848.6599998
kkwh,kkwh,1,1,196705613
千克,ST,0,2,193838832.44
EA,瓶,0,15,193170557.8500049
EA,支,0,28,192742064.9146272
公斤,EA,0,24,192456447.9708232
套,辆,0,44,191379338.6399219
件,片,0,157,187939576.8302245
米,条,0,438,187678419.1853932
件,ST,0,22,187356185.908517
UNKNOWN,无,0,35,187227207.7688916
UNKNOWN,户,0,18,185066780.6475
套,列,0,1,183713641.9899999
米,公斤,0,180,182823179.2095638
平方米,个,0,338,182216651.146978
根,只,0,221,181740968.3757862
套,项,0,262,181304785.0955957
粒,粒,1,73,180851252.4965372
件,Kg,0,14,180216280.515
pc,PC,0,7,179876414.0991602
公斤,条,0,141,179289066.5446351
个,次,0,139,178420770.6325293
千件,件,0,55,175978352.81741
辆,个,0,87,175408015.199197
Kg,kg,0,84,175274023.972187
千米,KM,0,9,172655079.4984375
kg,件,0,454,172215409.7436958
kg,米,0,303,172077789.547386
台,条,0,225,169871844.6222306
PC,套,0,66,169863812.9279248
m3,方,0,4,166934591.42
米,M,0,145,165926242.2716591
公斤,片,0,112,165832136.4125147
公斤,Kg,0,96,165045438.4104132
PC,台,0,88,163461983.4180469
平方米,UNKNOWN,0,120,163083162.1849487
支,盒,0,672,162774536.7286991
立方米,M3,0,11,162030851.6378125
UNKNOWN,公斤,0,54,161475603.225513
平方英尺,SF,0,7,160318198.849375
T,千克,0,6,160075855.48
千千瓦时,千千瓦时,1,2,158828446.04
KG,只,0,196,158564144.5495838
T,只,0,13,156570241.2900977
个,盒,0,611,153826607.4417663
m3,立方米,0,20,151303514.86875
吨,MT,0,1,151299351.29
Kg,KG,0,52,150844420.4091772
件,辆,0,33,150111467.5619336
方,立方米,0,20,149823793.39625
立方,立方,1,111,146057661.2470776
个,块,0,1003,144919722.1773887
瓶,件,0,231,143745282.6507102
只,千克,0,331,143182186.5852853
支,千克,0,92,142687781.421875
公斤,只,0,466,142658937.114971
psc,个,0,3,142620396.3501221
米,吨,0,153,141822641.0593189
册,册,1,39,141643946.411294
套,条,0,326,141483738.5106045
瓦,瓦,1,11,140902337.7434375
千克,箱,0,38,140614315.6047027
项,辆,0,4,138145392.23
斤,斤,1,146,136805776.3923369
吨,块,0,213,135685054.6942663
件,根,0,268,135634784.0637957
kwh,度,0,73,134130730.8281165
千只,千只,1,98,134070160.7684351
提,箱,0,34,132999781.494773
台,块,0,842,132963252.7238457
张,UNKNOWN,0,130,132720989.623169
KG,片,0,39,132462930.0105395
千米,千米,1,34,131351917.8950001
套,批,0,472,130640273.5004698
米,套,0,590,130464033.3958009
EA,只,0,46,130103267.2761108
套,盒,0,239,130043031.5452867
吨,台,0,303,129601597.2976856
公斤,套,0,415,128696342.7526038
组,套,0,128,128469974.1355933
KG,台,0,84,127186944.3711719
盒,箱,0,164,126495547.6358447
码,米,0,83,125583561.4210584
批,瓶,0,61,125368471.3431067
千瓦时,套,0,11,125106979.14625
组,pcs,0,1,124554160
KG,Kg,0,77,124371147.095
箱,公斤,0,167,124248441.6551511
每个,瓶,0,1,124170028
双,件,0,61,124047514.3838879
包,袋,0,267,123711048.209298
KWH,度,0,64,123602755.6030933
吨(t),吨,0,17,123053152.8894531
百万千焦,元/平方米,0,1,122054044.78
平方米,㎡,0,95,122023315.3922022
千克,件,0,160,120622496.3117091
吨,mt,0,4,119797770.23
台,支,0,587,119453530.8491463
立方米,张,0,90,119084379.423418
pcs,pcs,1,48,118150105.1014015
UNKNOWN,立方米,0,20,118048504.0199219
吨,千米,0,2,118006748.78
公斤,桶,0,312,117887103.2459015
千克,米,0,135,117631945.4938794
吨,根,0,531,115701080.3580402
项,笔,0,17,115417848.0034375
吨,包,0,134,114937148.7771129
平米,平米,1,88,114614010.8278186
桶,个,0,173,114003981.5679083
块,套,0,383,112587949.7977381
pcs,个,0,204,111842739.2176498
千克,㎏,0,3,111381972
吨,万张,0,4,110875064.4703125
KWH,千瓦时,0,11,110590711.5292188
件,组,0,76,108523679.5366437
M3,立方米,0,4,108369427.9225
张,片,0,96,107522768.2359347
M,米,0,160,107336486.6933572
吨,立方,0,70,106455925.1037643
立方米,UNKNOWN,0,65,106066909.4658115
根,个,0,677,105976426.6375271
KG,米,0,220,105953910.0819699
项,月,0,73,105477190.9968945
重箱,平方米,0,26,105144299.2217188
组,列,0,2,103814349.6
项,次,0,237,103207825.5104004
件,PCS,0,192,103058710.8965359
UNKNOWN,度,0,80,102933930.2081836
公斤,CAN,0,5,102439284.9865625
千克,个,0,336,101990073.0373476
公斤,平方米,0,88,101869280.9486426
付,付,1,555,101787253.3641061
千克,批,0,41,101488290.6044922
套,PC,0,140,100077489.5157575
EACH,个,0,21,99813325.31222828
只,支,0,549,99556119.74458653
KM,公里,0,5,99236712.2025001
台,列,0,2,99092012.21000001
盒,片,0,61,98497469.64102387
吨,袋,0,203,97613424.54819244
吨,湿吨,0,1,97107213.06
个,节,0,56,97000367.05292237
吨,金属吨,0,3,96948212.8299998
件,支,0,285,96677687.90378253
度,UNKNOWN,0,49,95887079.04474488
PCS,只,0,196,95646018.59167935
片,吨,0,38,95242263.3000049
片,箱,0,31,95111831.0837207
吨,方,0,43,94992325.96827149
kWh,kWh,1,9,94693182.43117188
kWh,KWH,0,4,94446038.45507813
件,克,0,10,94261611.47499989
吨,平米,0,46,94192228.45601563
个,pcs,0,194,94156893.09051013
KM,米,0,217,94120504.50343136
TON,吨,0,10,93608934.74431641
公斤,卷,0,204,93559301.60583986
金属吨,金属吨,1,4,93297583.66
只,张,0,131,93285603.65876245
本,个,0,155,93254204.81590366
吉焦,吨,0,5,92743967.98019531
张,PCS,0,64,92441907.95058882
方,万方,0,1,92217564.81
计费吨-W/M,UNKNOWN,0,1,91819616.64
pcs,PCS,0,53,91729130.25257938
樘,樘,1,77,91321494.528125
台,set,0,42,90963581.90969482
平方米,张,0,228,90600320.49382201
平方米,卷,0,193,90270913.9965369
PCS,块,0,102,89907930.84059082
kwh,kwh,1,57,89895143.67420898
盒,件,0,155,89769210.20007601
