product_id,unit_std,dimension,nrec,value,share,qty_std,v_prod
101010101,千克,MASS,2332,5800342786.11,.8003500185836261,4382679218.836081,7247257639.069999
101010101,袋,CONTAINER,792,560735397.3199997,.0773720799295271,20363046.58968699,7247257639.069999
101010101,个,COUNT,2075,230195719.5400001,.0317631483526974,113389791.9858436,7247257639.069999
101010101,箱,CONTAINER,199,145380743.19,.0200601041704729,1531206.683333333,7247257639.069999
101010101,UNKNOWN,UNKNOWN,1528,139148044.7899999,.0192000963288309,16296452.30869889,7247257639.069999
101010101,包,CONTAINER,309,76956538.45999999,.01061871155858,1926183.093198163,7247257639.069999
101010101,立方米,VOLUME,110,73263554.19000001,.010109141669676,603163.240543471,7247257639.069999
101010101,套,SET,319,57792650.35,.0079744164245576,49470565.8552381,7247257639.069999
101010101,批,BATCH,164,50461582.75,.0069628520556467,30213,7247257639.069999
101010101,千米,LENGTH,139,24165087.04,.003334376704055,13153.40825631202,7247257639.069999
101010101,千瓦时,ENERGY,32,17574372.16,.0024249685929829,47295105.72849094,7247257639.069999
101010101,OTHER,OTHER,354,13699740.36,.0018903343916111,6002262.243499999,7247257639.069999
101010101,瓶,CONTAINER,167,13473949.03,.0018591789751425,513197.5,7247257639.069999
101010101,盒,CONTAINER,214,12563994.96,.0017336205756323,2675142.116917026,7247257639.069999
101010101,桶,CONTAINER,108,6629517.090000002,.0009147621652444,91178,7247257639.069999
101010101,月,TIME,34,4765479.8,.0006575562836775,6689.28,7247257639.069999
101010101,平方米,AREA,42,4765439.19,.0006575506801786,227732.2353785872,7247257639.069999
101010101,项,SERVICE,24,3660383.959999999,.0005050715929108,134,7247257639.069999
101010101,次,SERVICE,56,2807999.64,.0003874568533154,236,7247257639.069999
101010101,票,SERVICE,5,2143539.53,.0002957725027525,54,7247257639.069999
101010101,份,SERVICE,37,1870457.68,.0002580917877014,259574,7247257639.069999
101010101,副,SET,55,1549852.75,.0002138536846882,258752,7247257639.069999
101010101,罐,CONTAINER,25,1419678.310000002,.0001958917953112,101711,7247257639.069999
101010101,令,CONTAINER,7,965004.13,.0001331543844664,2514.6,7247257639.069999
101010101,卷,CONTAINER,55,440198.83,.0000607400553317,38515,7247257639.069999
101010101,元,MONEY,14,310285.91,.0000428142513283,72,7247257639.069999
101010101,笔,SERVICE,1,95100,.000013122204941,13,7247257639.069999
101010101,车,CONTAINER,5,80542,.0000111134451142,140,7247257639.069999
101010102,千克,MASS,1115,4498542163.830006,.8882702438804138,2535053133.807174,5064384622.610004
101010102,UNKNOWN,UNKNOWN,293,159734572.26,.0315407663839084,33744133.36576647,5064384622.610004
101010102,个,COUNT,1196,129084288.2999999,.025488642336465,133980773.9941333,5064384622.610004
101010102,袋,CONTAINER,402,84472014.32999995,.0166796206498364,4640848.470405122,5064384622.610004
101010102,包,CONTAINER,165,35064222.59999999,.0069236887031556,1895941.83470613,5064384622.610004
101010102,箱,CONTAINER,120,34134880.46,.0067401832608851,400350.6533333333,5064384622.610004
101010102,OTHER,OTHER,185,32864699.92999999,.0064893767711234,8063958.943415788,5064384622.610004
101010102,立方米,VOLUME,42,19611003.2,.0038723368506504,43179.62027175506,5064384622.610004
101010102,千米,LENGTH,68,16533568.77,.0032646747832275,8684.007550662247,5064384622.610004
101010102,套,SET,149,12265015.95,.0024218176272084,1055202,5064384622.610004
101010102,次,SERVICE,13,6597832,.0013027904655077,123,5064384622.610004
