product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,立方米,千瓦时,千米,OTHER,箱,项,盒,次,平方米,批,瓶,月,包,瓦,袋,桶,笔,份,元,副,卷,单,罐,期,票,车,令,伏安
102030100,6.82916e+10,21,千克,0.9868,6.73882e+10,4.44122e+07,3.44236e+08,1.02109e+07,2.92752e+06,122503,4.34659e+06,4.87262e+08,42825.2,,19843.1,3536,567088,6.60813e+06,256469,,178658,,822.11,40855.8,,,,2.09419e+06,23576,,390,,,120,,
301010202,6.76768e+10,29,千克,0.4466,3.02256e+10,1.04669e+09,2.89424e+10,1.17359e+08,9.58908e+08,243738,2.41273e+08,1.04865e+09,5.32042e+08,3.49881e+08,21828.1,1.05259e+09,7.92976e+06,1.03155e+09,5.29913e+06,4.96399e+08,944080,,1.03635e+06,1.84909e+06,2.77456e+07,5.24797e+06,4.17903e+07,12073,661385,2.93829e+07,767505,7.12286e+06,7.21029e+08,7.82399e+08,,
108020707,6.34097e+10,24,千克,0.9657,6.12354e+10,1.32418e+09,1.74888e+08,6.61822e+07,3.03103e+06,526517,1.52241e+08,1.23177e+08,27286.1,5.27441e+06,9681.25,627336,2.44099e+08,4.41947e+07,117771,625,27765.3,,275.4,323333,,1750,,1.63016e+07,1.89144e+07,,86776.6,,,31234.2,,
108010102,6.33718e+10,23,千克,0.9921,6.28698e+10,4.63731e+07,1.83144e+08,2.1798e+06,1.55978e+08,2643.52,1.73051e+07,2.14756e+07,700728,2.23856e+06,15070.8,16970.2,6.54672e+06,3.29202e+07,20522.3,36608,2.32268e+07,,4.55139e+06,5.09867e+06,,,,6720,67713.8,,2318.6,,,78218.2,,
108030602,6.33258e+10,18,千克,0.9713,6.15055e+10,1.30914e+08,1.07901e+09,6.30873e+07,,1.23926e+08,6.59038e+07,2.76888e+08,540108,98135.7,37062.8,27040,7.15263e+07,5.83454e+06,300,,102203,,,6300,,,,2.45216e+06,28352.2,,,,,,,
108020710,6.07089e+10,21,千克,0.9904,6.01291e+10,2.08401e+08,3.60821e+07,2.09351e+07,113900,73018.1,3.66531e+07,2.61735e+08,95706.6,204700,2.69139e+06,,9.02324e+06,2.13548e+06,150,,18065.8,,38408,5100,,,15750,254442,1.359e+06,,380,,,,,
305990000,5.9285e+10,28,UNKNOWN,0.8263,2.73461e+08,3.18562e+08,4.89875e+10,3.21466e+07,9.4493e+08,,1.13588e+08,7.02804e+08,706096,5.79579e+09,203528,1.0283e+09,1.55413e+08,2.95945e+08,54978.6,4.94415e+07,3389.2,,111437,992719,1.23543e+08,215880,1.60373e+08,23599.3,258593,2.51048e+06,2592,2.81851e+08,,1.38136e+07,,2.48e+06
201050000,5.30129e+10,31,个,0.3183,1.58384e+10,1.68757e+10,8.73655e+09,1.52905e+09,2.37379e+08,6.73608e+07,3.87674e+09,8.72511e+08,9.1574e+07,8.96046e+08,1.74259e+07,5.95195e+08,7.12858e+08,2.08975e+09,4.27479e+07,9.48343e+07,7.19528e+06,3.88483e+07,5.46694e+06,2.98521e+07,2.01886e+07,7.74948e+06,7.94694e+07,2.06486e+08,1.80404e+07,2.02755e+06,8.35119e+06,2.17117e+06,3.04958e+06,8.51757e+06,1.40321e+06,
108030202,5.18932e+10,16,千克,0.9898,5.13624e+10,2.11007e+07,2.38299e+08,6.20136e+06,,,3.47545e+06,2.59175e+08,1200,,4524,456809,615451,461730,7760.6,,3900,,,,,,,835845,227370,,9765,,,,,
108010301,5.14697e+10,24,立方米,0.9182,8.21364e+08,2.95179e+07,2.32797e+09,2.893e+06,4.72598e+10,12472,6.0455e+07,5.06158e+08,25422.4,5.13067e+06,361790,1.33421e+06,2.94631e+07,4.16007e+08,23881.4,,967497,,635059,837557,28810,,6.56264e+06,31679,52318,,32180,,,101823,,
107021303,4.90145e+10,17,千克,0.9948,4.87581e+10,1.47249e+07,2.04995e+08,281551,3.17373e+06,,1.71052e+06,2.72553e+07,4650.92,,7244.89,,3.24574e+06,32556,170782,,450983,,24447.2,85742.8,,,,,139660,,54498,,,,,
