product_id,product_name,class,v_prod,n_units,top1,top2,top3,unit1,share1,unit2,share2,unit3,share3,unit4,share4,unit5,share5
305010000,工程服务,B 前2个>=90%,441400437156.9375,28,0.7999653073291956,0.9221991927979036,0.975114569729478,UNKNOWN,0.7999653073291956,项,0.12223388546870802,次,0.0529153769315743,批,0.0046417456054241605,OTHER,0.004641350187531953
109031001,机动车（汽车）零配件,B 前2个>=90%,147896975010.62152,27,0.8683363158668381,0.9570312043183229,0.9741903111624425,个,0.8683363158668381,套,0.0886948884514848,UNKNOWN,0.01715910684411964,千克,0.011116094061614663,桶,0.003671175867492015
107010103,柴油,B 前2个>=90%,91674693692.26031,17,0.8664251164309024,0.9962340157164802,0.9982203637798422,千克,0.8664251164309024,立方米,0.12980889928557776,UNKNOWN,0.001986348063362077,OTHER,0.0010727058572308611,个,0.0005639970736495514
304060300,咨询服务,B 前2个>=90%,55478231692.200775,23,0.8974216952138061,0.9309328345397685,0.958911339898167,UNKNOWN,0.8974216952138061,项,0.033511139325962364,次,0.0279785053583985,个,0.015201967397723613,笔,0.008175639460617324
109040904,专用电缆,B 前2个>=90%,36542719955.29021,21,0.8972905518171714,0.9342685628414863,0.9526146728988996,千米,0.8972905518171714,UNKNOWN,0.036978011024314895,千克,0.018346110057413233,个,0.017113417413436662,OTHER,0.013106460469201237
108031601,铝材,B 前2个>=90%,36194565868.99458,22,0.8280485733695659,0.9113709494410713,0.9806906206124288,千克,0.8280485733695659,平方米,0.08332237607150533,个,0.06931967117135752,千米,0.007255894563068058,UNKNOWN,0.00411222050179137
109051299,其他电子计算机配套产品及耗材,B 前2个>=90%,35361767397.46127,27,0.7259177336746727,0.9659217827858321,0.9777872977657206,个,0.7259177336746727,套,0.24000404911115936,UNKNOWN,0.011865514979888539,卷,0.0091023692250667,批,0.003266157685064188
306020000,直接收费金融服务,B 前2个>=90%,33338736491.98321,15,0.852109398143331,0.982662873507933,0.9891154816684475,UNKNOWN,0.852109398143331,笔,0.1305534753646021,批,0.00645260816051452,次,0.005046095944523103,元,0.0032062183938982055
104010105,布,B 前2个>=90%,32872817845.33084,21,0.7852657234590196,0.9287746677624995,0.9520693868448729,千米,0.7852657234590196,千克,0.14350894430348,OTHER,0.023294719082373374,平方米,0.019499191055616198,个,0.018883734733761766
106010204,包装用纸及纸板,B 前2个>=90%,22899503295.303345,24,0.8512029062533298,0.9540561869106968,0.9790395002099148,千克,0.8512029062533298,个,0.10285328065736694,平方米,0.024983313299217966,UNKNOWN,0.006633345963171115,套,0.003964174513226043
102020200,天然气,B 前2个>=90%,19301887153.839954,19,0.8278193522926064,0.9175665760913954,0.9687457876993936,立方米,0.8278193522926064,OTHER,0.08974722379878895,千瓦时,0.051179211607998244,千克,0.02546825523030023,UNKNOWN,0.005546467220832789
107022301,清洁类化妆品,B 前2个>=90%,18728402389.474823,21,0.8392928157490761,0.959749540017508,0.9755848163788287,个,0.8392928157490761,瓶,0.12045672426843196,盒,0.01583527636132064,箱,0.006664565070729975,套,0.0058053431297677245
109040201,发电机组,B 前2个>=90%,14208826977.589231,17,0.5568422165484743,0.973717383111268,0.9824708436480736,个,0.5568422165484743,套,0.4168751665627936,UNKNOWN,0.00875346053680557,项,0.005928736761776151,批,0.0050324964976195515
104010106,印染布,B 前2个>=90%,12796685712.4137,23,0.7187148423820112,0.9546253999331356,0.9839285885893323,千米,0.7187148423820112,千克,0.23591055755112436,个,0.02930318865619671,OTHER,0.010221943346892193,平方米,0.00337806139442459
105010301,胶合板,B 前2个>=90%,12531427819.507786,19,0.6059312451980778,0.9501250654694915,0.970114736675305,个,0.6059312451980778,立方米,0.3441938202714136,千克,0.019989671205813506,平方米,0.014241659385916946,套,0.00527601383407399
107030205,片剂,B 前2个>=90%,12431622247.831944,18,0.7854152085002379,0.9487070509567055,0.9674420091321024,盒,0.7854152085002379,瓶,0.1632918424564675,UNKNOWN,0.018734958175396922,个,0.010686115074126356,OTHER,0.008745356954033914
109041303,太阳能电池,B 前2个>=90%,11704137219.586412,14,0.4804715453340352,0.9311849573902613,0.9789149456863137,个,0.4804715453340352,瓦,0.4507134120562261,OTHER,0.04772998829605237,套,0.010065540444023056,千克,0.005730987917637517
103010701,鲜、冷、冻肉,B 前2个>=90%,10398117505.349081,20,0.8497423385135942,0.9162769674177289,0.9529531168615167,千克,0.8497423385135942,OTHER,0.06653462890413481,个,0.03667614944378782,UNKNOWN,0.014542694083470892,袋,0.013029503302340017
108041000,金属容器,B 前2个>=90%,10363062958.510685,23,0.8532765116888522,0.9335735658703647,0.984588345237944,个,0.8532765116888522,套,0.08029705418151246,千克,0.05101477936757936,罐,0.009377388460251705,OTHER,0.002496101604587312
