product_id,product_name,class,v_prod,n_units,top1,top2,top3,unit1,share1,unit2,share2,unit3,share3,unit4,share4,unit5,share5
103010501,食用植物油及食用植物油脂,C 前3个>=90%,37507753709.729996,20,0.751649831232267,0.8715882396257562,0.9295192488764203,千克,0.751649831232267,箱,0.11993840839348914,瓶,0.0579310092506642,桶,0.030585624074107084,个,0.01707120956896712
305020000,安装服务,C 前3个>=90%,34559605423.52005,29,0.6756749771737307,0.8765362028255066,0.9100754987403596,UNKNOWN,0.6756749771737307,项,0.2008612256517759,次,0.0335392959148531,个,0.024904865348787705,批,0.018736375679489672
108049900,其他金属制品,C 前3个>=90%,34054596499.369976,28,0.4513742399882593,0.8273416349537785,0.9013226471207149,个,0.4513742399882593,千克,0.37596739496551923,套,0.07398101216693635,千米,0.023885595372860995,平方米,0.023260146824662976
306020000,直接收费金融服务,C 前3个>=90%,17945784896.509983,20,0.7333203769481985,0.8522116082916059,0.9069187656503754,UNKNOWN,0.7333203769481985,笔,0.11889123134340741,元,0.054707157358769465,次,0.05414318569030438,OTHER,0.018813498064699275
107030205,片剂,C 前3个>=90%,12677712295.539993,20,0.7689486037374038,0.8898295619800931,0.9669952259717076,盒,0.7689486037374038,瓶,0.12088095824268932,OTHER,0.07716566399161456,个,0.012923050106416834,千克,0.007875848637543726
306030299,其他财产保险服务,C 前3个>=90%,12640905809.890017,15,0.37156032172989123,0.6884760906390878,0.9180644404272316,份,0.37156032172989123,单,0.31691576890919654,UNKNOWN,0.22958834978814385,次,0.02867557419076704,个,0.02761582374792144
304020500,信息系统增值服务,C 前3个>=90%,11171632775.249989,22,0.4393392688894725,0.8326313031043795,0.9073428378783394,次,0.4393392688894725,UNKNOWN,0.39329203421490705,项,0.07471153477395989,个,0.023981901455224348,批,0.0170268872479779
109050401,数字蜂窝移动电话系统设备,C 前3个>=90%,10872536269.869999,18,0.45433479144319866,0.7646797306080092,0.9614196291998192,批,0.45433479144319866,套,0.31034493916481054,个,0.19673989859180993,OTHER,0.03425409766459698,项,0.001691865095081439
110010202,供热,C 前3个>=90%,10024242396.090004,18,0.8443196490291666,0.8937874204413402,0.93686247998683,千克,0.8443196490291666,千瓦时,0.04946777141217364,OTHER,0.043075059545489805,平方米,0.02544170003804746,立方米,0.012749441263496407
109010101,锅炉、辅助设备、零件,C 前3个>=90%,9991443731.600002,27,0.4581108651309017,0.7616542831004218,0.9080744150342207,个,0.4581108651309017,套,0.3035434179695201,千克,0.14642013193379888,OTHER,0.023286586236195648,项,0.02202144710019456
