product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,立方米,千瓦时,千米,OTHER,箱,项,盒,次,平方米,批,瓶,月,包,瓦,袋,桶,笔,份,元,副,卷,单,罐,期,票,车,令,伏安
104011401,4.99535e+08,16,个,0.9523,0.000924,0.952258,0.023212,0.005453,,,0.004292,0.001058,0.000022,,0.000613,0.000018,,0.010859,0.000012,,0.000017,,0.000057,,,0.000009,,0.001156,,,,,0.000038,,,
109042301,4.99261e+08,18,个,0.9482,0.000396,0.948172,0.001469,0.017735,0.000002,0.000009,0.001217,0.023461,0.001459,,0.003069,,0.000050,0.002901,0.000002,,0.000012,,0.000004,0.000010,,,,0.000008,0.000025,,,,,,,
109024100,4.99224e+08,20,个,0.7672,0.037685,0.767228,0.016177,0.101280,0.000014,,0.009465,0.001052,0.012529,,0.000180,0.000026,0.000029,0.038530,0.000043,,0.000158,,0.000031,0.001697,,0.000028,,0.001091,0.012739,,0.000019,,,,,
103010399,4.99198e+08,18,千克,0.7784,0.778403,0.059638,0.050263,0.000132,,0.000024,0.005341,0.002198,0.039852,,0.007053,,,0.003422,0.005473,,0.008345,,0.034329,0.000229,,0.000002,,0.000007,0.000121,,0.005168,,,,,
109042404,4.98424e+08,18,个,0.6368,0.002558,0.636829,0.002905,0.233333,,0.003310,0.002042,0.103846,0.000703,0.000237,0.000145,0.000819,0.001194,0.011000,0.000024,,0.000005,,,0.000082,,,,0.000234,0.000738,,,,,,,
108012801,4.98052e+08,20,个,0.8853,0.044710,0.885325,0.000675,0.022297,0.004277,,0.003286,0.005891,0.015533,,0.000978,0.000020,0.007569,0.003311,0.000126,,0.000252,,0.000168,0.000066,,,,0.001161,0.004314,,0.000018,,0.000024,,,
107030805,4.94849e+08,22,盒,0.3560,0.007938,0.132861,0.097194,0.112632,0.000316,,0.000162,0.135774,0.025832,0.000009,0.356049,0.000351,0.000000,0.022039,0.056029,,0.006391,,0.001679,0.020605,0.000001,0.019579,,0.000045,0.004495,,0.000019,,,,,
108010304,4.94798e+08,20,千克,0.6468,0.646756,0.045997,0.012830,0.021993,0.007440,,0.176970,0.035760,0.000001,0.023881,0.001509,0.001451,0.017936,0.007224,0.000008,,0.000006,,0.000002,0.000073,,,,0.000122,0.000038,,,,,0.000001,,
109011403,4.94626e+08,12,个,0.6657,0.000065,0.665665,0.038469,0.182334,0.000004,,0.004668,0.002246,,,0.000002,0.000052,0.000094,0.106400,,,,,,,,,,0.000000,,,,,,,,
103020701,4.94229e+08,15,千克,0.8574,0.857352,0.002339,0.000404,,,0.013681,0.000000,0.001314,0.089364,,0.000761,,,0.000001,0.000603,,0.008281,,0.023973,0.001740,,0.000015,,,,,0.000174,,,,,
