product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,千瓦时,千米,立方米,项,OTHER,平方米,盒,箱,次,瓶,批,月,伏安,桶,袋,份,笔,罐,瓦,副,卷,包,元,票,期,令,单,车
301010202,6.05704e+10,26,千克,0.5139,0.513899,0.028092,0.303217,0.003846,,0.002692,0.015411,0.006176,0.038287,0.000296,,0.010376,0.020737,0.000167,0.014459,0.011939,,0.000098,0.000022,0.000742,0.000129,,,0.000005,0.000054,0.000014,0.000862,0.012005,0.000007,,0.000037,0.016432
102030100,5.83153e+10,17,千克,0.9935,0.993477,0.001041,0.002302,0.000624,,0.000006,0.000251,,0.002262,0.000018,0.000001,0.000000,0.000000,0.000002,0.000010,,,0.000000,,,,,,0.000006,0.000000,0.000000,,,,,,
108020600,5.77362e+10,16,千克,0.9912,0.991209,0.008179,0.000077,0.000111,,0.000131,,0.000002,0.000176,0.000029,,0.000000,0.000000,0.000001,0.000074,,,0.000000,,,,,,0.000011,0.000000,0.000000,,,,,,
109052201,5.66895e+10,17,个,0.9744,0.000160,0.974438,0.020603,0.002054,,0.000005,,0.000035,0.002190,0.000272,,0.000016,0.000008,0.000000,0.000202,0.000000,,,,0.000000,,,,0.000015,0.000001,0.000000,,,,,,
304060300,5.54782e+10,23,UNKNOWN,0.8974,0.000376,0.015202,0.897422,0.000217,,0.000016,,0.033511,0.002667,0.000070,0.000000,0.000000,0.027979,0.000000,0.003164,0.007309,,,,0.000782,0.008176,,,0.000000,0.000002,0.000000,0.001558,0.000003,0.000338,,0.001209,
108020707,5.41652e+10,22,千克,0.9710,0.971031,0.013811,0.004024,0.001356,0.000003,0.002642,0.000121,0.000027,0.003713,0.002181,0.000001,0.000002,0.000005,0.000000,0.000468,,,0.000183,,0.000000,,0.000115,,0.000313,0.000005,0.000000,,,,,,0.000000
201050000,5.40205e+10,31,千克,0.3522,0.352213,0.316902,0.071433,0.032457,0.000394,0.093583,0.003165,0.023826,0.021046,0.021159,0.000749,0.005248,0.006565,0.001100,0.037319,0.001468,,0.001176,0.000068,0.000117,0.000472,0.000047,0.000006,0.008198,0.000637,0.000040,0.000437,0.000033,0.000007,0.000109,0.000001,0.000023
108030602,5.28512e+10,19,千克,0.9869,0.986890,0.007500,0.001481,0.000712,,0.000587,0.000000,0.000000,0.000454,0.001963,0.000000,0.000002,0.000000,0.000000,0.000307,,,0.000000,,,,,,0.000025,0.000001,0.000000,0.000078,,,,,
107010301,5.05147e+10,10,千克,0.9989,0.998910,0.000004,0.001062,0.000001,,0.000001,,,0.000002,,,0.000019,,0.000002,,,,0.000000,,,,,,,,0.000000,,,,,,
109041302,4.95522e+10,22,个,0.9099,0.036805,0.909944,0.027007,0.020213,,0.000000,0.000000,0.000004,0.005559,,0.000001,0.000003,0.000003,0.000003,0.000312,0.000001,,0.000007,0.000000,0.000000,,0.000000,,0.000000,0.000006,0.000131,0.000000,,,,,
