product_id,v_prod,n_units,dom_unit,dom_share,千克,个,UNKNOWN,套,千瓦时,千米,立方米,项,OTHER,平方米,盒,箱,次,瓶,批,月,伏安,桶,袋,份,笔,罐,瓦,副,卷,包,元,票,期,令,单,车
107021303,6.55771e+10,13,千克,0.9986,6.54842e+10,1.47497e+06,9.08343e+07,23346,,250580,,,69328,75,5709.7,,,75541.4,,,,44849.2,9370,,,,,,56662.8,30407.8,,,,,,
107010104,6.52703e+10,16,千克,0.9963,6.50289e+10,2.61113e+07,9.76616e+07,39225,1.04636e+06,5089.5,8.03571e+07,,3.68645e+06,,,90920,400,394572,69075,2.00698e+06,,2.9881e+07,3241.55,,,16572.9,,,,,,,,,,
108010102,6.18101e+10,21,千克,0.9924,6.13419e+10,1.08273e+08,1.20851e+08,2.93887e+06,82418,2.27309e+07,1.19459e+08,127731,2.8559e+07,1.3293e+07,30163,173837,,4103.4,2.45898e+07,,,617774,3.17188e+06,,,,,4.87476e+06,76470,1.68882e+07,1.36387e+06,,,,,66270
301010202,6.05704e+10,26,千克,0.5139,3.11271e+10,1.70156e+09,1.8366e+10,2.32943e+08,,1.63041e+08,9.33455e+08,3.74069e+08,2.31908e+09,1.7926e+07,,6.28452e+08,1.25603e+09,1.00945e+07,8.75788e+08,7.23156e+08,,5.96293e+06,1.32732e+06,4.49159e+07,7.78397e+06,,,312580,3.25671e+06,822500,5.22023e+07,7.27168e+08,451800,,2.24914e+06,9.95294e+08
102030100,5.83153e+10,17,千克,0.9935,5.79349e+10,6.06815e+07,1.34269e+08,3.63617e+07,,365305,1.46273e+07,,1.31906e+08,1.05698e+06,33561.2,390,4157,106778,606988,,,26045,,,,,,327161,4870.5,7833.24,,,,,,
108020600,5.77362e+10,16,千克,0.9912,5.72287e+10,4.722e+08,4.47424e+06,6.41106e+06,,7.53881e+06,,128653,1.0157e+07,1.64704e+06,,3195,580,52387,4.28836e+06,,,7380,,,,,,606610,15548.7,23218,,,,,,
109052201,5.66895e+10,17,个,0.9744,9.04849e+06,5.52404e+10,1.16796e+09,1.16445e+08,,291431,,2.01037e+06,1.24126e+08,1.54273e+07,,928301,480357,2100,1.14712e+07,200,,,,1022,,,,854773,73469.8,247.62,,,,,,
304060300,5.54782e+10,23,UNKNOWN,0.8974,2.08409e+07,8.43378e+08,4.97874e+10,1.20376e+07,,900351,,1.85914e+09,1.47933e+08,3.8722e+06,320,819,1.5522e+09,10400,1.75544e+08,4.05468e+08,,,,4.33679e+07,4.5357e+08,,,14100,92400,80,8.6456e+07,183636,1.87725e+07,,6.70828e+07,
108020707,5.41652e+10,22,千克,0.9710,5.25961e+10,7.48051e+08,2.17948e+08,7.34531e+07,155909,1.43101e+08,6.55648e+06,1.45012e+06,2.01123e+08,1.18123e+08,53287.4,128545,256446,1445,2.53367e+07,,,9.90644e+06,,2500,,6.23251e+06,,1.69315e+07,287529,8768.18,,,,,,400
201050000,5.40205e+10,31,千克,0.3522,1.90267e+10,1.71192e+10,3.85884e+09,1.75335e+09,2.12883e+07,5.05539e+09,1.70983e+08,1.28709e+09,1.13689e+09,1.143e+09,4.04849e+07,2.83476e+08,3.54666e+08,5.94388e+07,2.01601e+09,7.93128e+07,,6.35382e+07,3.69969e+06,6.32664e+06,2.54979e+07,2.561e+06,325800,4.42839e+08,3.44208e+07,2.14353e+06,2.36004e+07,1.79798e+06,375737,5.90438e+06,60839.3,1.23233e+06
