product_id,product_name,class,v_prod,n_units,top1,top2,top3,unit1,share1,unit2,share2,unit3,share3,unit4,share4,unit5,share5
109050501,移动通信手持机（手机）,A 首要单位>=90%,292140941134.1606,24,0.9789244874246014,0.9893823810787427,0.9958894448068184,个,0.9789244874246014,UNKNOWN,0.010457893654141293,OTHER,0.006507063728075722,套,0.0030690025153929427,批,0.0007699078627487156
108030100,铜,A 首要单位>=90%,283599989390.9602,20,0.9963107967103706,0.9976526150999524,0.9986601174224088,千克,0.9963107967103706,UNKNOWN,0.0013418183895818215,个,0.00100750232245639,OTHER,0.0009252870536544681,千米,0.00020916074259165948
102010100,原煤,A 首要单位>=90%,201555569626.3102,22,0.9753598813084264,0.9990673468408314,0.9996654856197474,千克,0.9753598813084264,UNKNOWN,0.023707465532404992,OTHER,0.000598138778916,个,0.00019539708633712228,套,2.8373702947544263e-05
108020705,钢筋,A 首要单位>=90%,162344393099.9404,22,0.9889448252670167,0.9967287933753706,0.9979496694758343,千克,0.9889448252670167,OTHER,0.007783968108353856,批,0.0012208761004636923,UNKNOWN,0.0012113900526206228,个,0.00025075813320475545
109050901,电子计算机整机,A 首要单位>=90%,140300013139.94092,26,0.9397313679688256,0.9870698927810466,0.9974498522404047,个,0.9397313679688256,套,0.04733852481222095,UNKNOWN,0.01037995945935814,包,0.0009378294902136557,批,0.0006660974075375582
108020799,其他钢材,A 首要单位>=90%,121835306236.2899,25,0.9582796503295858,0.9749632616793849,0.9888989762205963,千克,0.9582796503295858,个,0.01668361134979899,UNKNOWN,0.013935714541211407,千米,0.005178237430014206,套,0.0018507398280157704
108020708,热轧薄板,A 首要单位>=90%,121064770548.5402,17,0.996100056198837,0.9991775532469201,0.9994825104737229,千克,0.996100056198837,个,0.00307749704808318,OTHER,0.00030495722680279916,平方米,0.0001479404054445298,套,0.00011575566200227668
107021301,初级形态塑料,A 首要单位>=90%,87856905281.81995,24,0.9911381190277242,0.9939288194026523,0.9962785491820908,千克,0.9911381190277242,平方米,0.00279070037492813,个,0.002349729779438499,立方米,0.0009204056137717501,UNKNOWN,0.0008074809894843866
107010101,汽油,A 首要单位>=90%,78382839198.1999,23,0.9069104320772351,0.9914659953981948,0.9970786700217507,千克,0.9069104320772351,立方米,0.08455556332095969,OTHER,0.005612674623555911,UNKNOWN,0.0016626097965202675,个,0.0004930620376263118
107010104,燃料油,A 首要单位>=90%,75052360673.92024,20,0.9921350427321719,0.9955590405318746,0.9984070801941937,千克,0.9921350427321719,OTHER,0.0034239977997027487,UNKNOWN,0.0028480396623190582,立方米,0.0014542482662764057,个,4.444685670172615e-05
109052201,视频设备,A 首要单位>=90%,71918370640.01054,21,0.9653065825090889,0.9883400580484859,0.9984454424149899,个,0.9653065825090889,UNKNOWN,0.02303347553939701,套,0.010105384366503961,OTHER,0.0005868152850854662,元,0.00037955090176659205
102030100,铁矿石,A 首要单位>=90%,68291575960.57999,21,0.9867721078668408,0.9939071261215265,0.9989478030588798,千克,0.9867721078668408,OTHER,0.0071350182546857975,UNKNOWN,0.005040676937353204,个,0.0006503317361666403,套,0.00014951909260219805
108020707,钢板,A 首要单位>=90%,63409691190.25007,24,0.9657108303625627,0.9865937858019295,0.9904433334797067,千克,0.9657108303625627,个,0.020882955439366756,平方米,0.003849547677777255,UNKNOWN,0.0027580672880944575,千米,0.002400913509943238
108010102,水泥,A 首要单位>=90%,63371760181.35006,23,0.9920787219666382,0.994968708863734,0.9974300318409346,千克,0.9920787219666382,UNKNOWN,0.0028899868970958154,立方米,0.0024613229772005533,个,0.0007317626240346616,批,0.0005194774521931019
