product_id,n_units,dom_unit,dom_share,dom_value,v_prod
305010000,221,UNKNOWN,.7957883394067037,351261320898.5123,441400437156.9374
102010100,69,吨,.9942426440991352,361228051543.1376,363319813012.4861
108030100,123,吨,.8875426914365329,267760476941.6763,301687433770.9799
109050501,76,个,.8780354835957431,237885259870.0459,270928982158.9611
108020708,70,吨,.9805640163952459,148985837078.9998,151938919425.8853
109031001,864,件,.4205614098672488,62199760325.5683,147896975010.6216
109050901,130,个,.8743851259649854,120859386238.3484,138222143366.1352
110010102,395,KKWH,.183832762126461,24395153051.375,132702967464.4895
108020799,343,吨,.8774195998886066,108556570581.0044,123722527505.4104
107010101,70,吨,.9036657129710109,104844505658.757,116021338592.184
108020705,108,吨,.9888028232781757,113498450222.2581,114783703636.6633
110010101,192,兆瓦时,.3229371250621856,36886979056.23438,114223408191.7071
102010200,35,吨,.9954338028574978,104436025440.2217,104915088417.1575
107010103,58,吨,.8646426350697879,79265848723.29163,91674693692.26031
109030501,114,辆,.7945630030063608,70614092262.95087,88871608665.10364
102020101,57,吨,.9978431577501633,88491498516.88727,88682773269.10677
109041501,81,个,.8367917614923366,61022009578.06407,72923769551.9818
107010199,138,吨,.9723861218241007,70420866764.99631,72420682673.76512
107021301,142,吨,.8201920935255292,53884547719.82021,65697472756.90241
107021303,46,吨,.9945946433092318,65222602635.06677,65577070089.63677
107010104,39,吨,.9941667537903026,64889529084.44824,65270266619.81421
108010102,107,吨,.9912926366580096,61271871630.4743,61810074406.52739
301010202,451,吨,.5077773504325623,30756291188.98219,60570427496.9762
102030100,74,吨,.9706305957492715,56602642153.43147,58315328613.49529
108020600,80,吨,.9870891687953417,56990801489.3063,57736224133.48809
109052201,70,个,.9028481609937167,51182048778.30335,56689542039.90404
304060300,101,UNKNOWN,.8968105615293597,49753464116.5385,55478231692.20078
108020707,199,吨,.8203418192573546,44434001430.29764,54165227698.03835
201050000,607,吨,.2111495862888944,11406405322.4184,54020495720.0919
