product_id,value,n_units_raw,n_units_std,n_dims,n_units_phys,dom_unit,dom_dim,dom_share
109024304,16862999.14038086,16,7,6,2,个,COUNT,0.8505
109042503,16851682.135299683,14,7,6,2,个,COUNT,0.6523
102040304,16828825.485824585,7,5,4,2,千克,MASS,0.9994
102050700,16712054.94568324,49,16,10,5,个,COUNT,0.3357
405990000,16690718.594772343,8,8,7,2,UNKNOWN,UNKNOWN,0.7309
107022305,16620781.002361298,17,10,6,2,瓶,CONTAINER,0.4532
109011211,16480693.00097656,13,8,6,2,个,COUNT,0.8867
108040599,16450814.12049866,14,5,5,2,个,COUNT,0.6959
109021808,16433064.842285156,20,9,8,4,个,COUNT,0.5052
109020404,16375196.66415119,34,12,10,4,个,COUNT,0.818
109024209,16346828.74585152,20,8,5,1,个,COUNT,0.7057
103010907,16158552.187220572,19,11,5,2,千克,MASS,0.8069
103011104,16148187.391370773,26,12,6,2,盒,CONTAINER,0.373
109025303,15863384.292442326,42,14,9,3,个,COUNT,0.8195
109020906,15849124.94311523,20,7,7,3,个,COUNT,0.8265
102050402,15831990.75292969,18,8,6,3,千克,MASS,0.7637
109023603,15827020.41015244,21,9,8,3,个,COUNT,0.8054
109021502,15748748.436981201,23,14,8,2,个,COUNT,0.482
103020999,15627896.531682014,29,14,7,2,箱,CONTAINER,0.2416
106010105,15521995.780189514,23,10,7,3,千克,MASS,0.9632
104011403,15506917.16455889,26,13,8,3,个,COUNT,0.6852
107040309,15503193.619873047,8,5,5,2,千克,MASS,0.9935
106050603,15355519.38282776,23,9,7,3,个,COUNT,0.7487
109050603,15353752.904970169,32,13,10,4,个,COUNT,0.5727
107030112,15300704.671237944,12,8,5,2,盒,CONTAINER,0.9224
109022809,15275206.519943237,20,9,7,3,个,COUNT,0.6461
109062702,15207309.745487927,32,13,7,2,个,COUNT,0.9488
106040106,15181657.882378463,41,13,7,2,千克,MASS,0.6684
108013002,15158915.269256592,23,12,9,4,千克,MASS,0.3834
109022401,15156047.260227203,24,12,10,4,套,SET,0.325
109020803,15140593.878113747,18,9,7,2,个,COUNT,0.5195
101030199,15078772.794094086,18,10,6,2,OTHER,OTHER,0.7115
109023903,15041990.5300293,4,1,1,1,个,COUNT,1.0
103010906,15017491.659142494,33,13,8,2,千克,MASS,0.3847
109062701,14967767.059642795,31,14,8,2,个,COUNT,0.9549
306011002,14954527.39099121,5,5,5,1,次,SERVICE,0.9204
108032204,14901528.40625,4,3,3,2,OTHER,OTHER,0.7368
109010303,14752024.21811819,22,8,7,2,套,SET,0.4871
109061103,14551114.535949707,21,11,8,3,个,COUNT,0.5634
109051505,14218085.30561829,18,7,5,1,个,COUNT,0.8558
106040704,14147143.72613049,20,11,9,3,个,COUNT,0.8232
106050301,14021743.78691101,22,12,8,3,个,COUNT,0.7779
109021405,13994077.749126434,25,15,10,4,个,COUNT,0.4331
109032000,13983044.71307373,10,7,7,1,UNKNOWN,UNKNOWN,0.4524
103011303,13970475.039011002,26,12,6,2,袋,CONTAINER,0.4477
101020406,13949505.474040981,16,10,7,4,千克,MASS,0.9576
107050106,13880053.020996092,27,11,7,3,个,COUNT,0.7729
302010101,13856439.940673828,6,5,3,1,份,SERVICE,0.4989
302030100,13836508.239990234,15,8,8,3,UNKNOWN,UNKNOWN,0.3333
102050205,13645313.831806183,29,12,9,5,平方米,AREA,0.3685
109042304,13550575.29611969,24,8,8,2,个,COUNT,0.658
109022102,13504916.262695312,14,6,6,3,个,COUNT,0.5236
106010509,13401801.070785519,21,10,7,2,千克,MASS,0.9004
101011212,13346391.565877914,28,12,5,2,千克,MASS,0.6886
109060802,13300916.11851883,24,8,8,2,个,COUNT,0.7327
109022806,13167044.59521484,14,7,6,2,个,COUNT,0.8444
109020908,13160751.039901733,10,3,3,2,套,SET,0.9042
101030299,13113426.593147278,14,8,5,2,千克,MASS,0.4534
107022603,13085483.535100937,6,3,3,2,千克,MASS,0.9998
109022901,13084936.43450928,18,8,7,2,个,COUNT,0.9652
109020206,13055130.22875023,8,5,5,2,个,COUNT,0.8235
109024402,12850301.000656128,18,11,8,3,个,COUNT,0.5028
108031299,12780090.1875,7,2,2,2,千克,MASS,0.999
109024609,12746830.242523193,17,10,7,3,个,COUNT,0.4671
109023901,12745682.106445312,10,4,4,2,套,SET,0.8968
106050208,12511001.267836332,27,10,9,4,千克,MASS,0.5174
109021599,12446685.000427246,25,13,9,3,个,COUNT,0.7038
102020602,12433348.195653915,22,13,9,4,个,COUNT,0.7663
109060903,12433150.943725586,12,6,6,1,个,COUNT,0.5844
109022601,12406652.305366516,25,11,6,2,个,COUNT,0.6814
109060507,12354639.572387695,26,10,6,2,个,COUNT,0.6147
103020506,12340864.028188452,32,13,7,2,瓶,CONTAINER,0.2286
106050899,12318209.944824219,21,11,10,4,个,COUNT,0.6667
109020805,12243447.061653137,14,9,7,2,个,COUNT,0.9263
109020604,12184138.749816895,12,7,7,2,千克,MASS,0.6295
109061004,12084229.144927979,15,7,6,2,套,SET,0.5269
101011902,12027930.0,3,3,3,2,千克,MASS,0.9977
109025001,11971344.934143065,14,7,6,3,个,COUNT,0.9073
110020103,11956340.299804688,4,2,2,2,个,COUNT,0.9891
109020409,11915190.494262695,8,4,4,2,个,COUNT,0.5651
104030402,11857626.283543587,32,14,9,4,个,COUNT,0.5357
109031806,11826668.953125,5,3,3,1,OTHER,OTHER,0.985
108031302,11788034.72489929,9,4,3,2,千克,MASS,0.9859
108032208,11712850.0,4,3,3,2,个,COUNT,0.9989
103010903,11600897.458338737,21,12,6,2,千克,MASS,0.4635
109030200,11598568.500358587,23,9,7,2,个,COUNT,0.9738
109024706,11437669.065800667,16,5,4,1,个,COUNT,0.4737
106040107,11412446.969855338,85,16,9,4,个,COUNT,0.5423
107030107,11362154.893523216,17,11,6,2,OTHER,OTHER,0.7891
109012805,11307654.20050621,7,3,3,2,套,SET,0.4466
101011908,11261986.30318832,6,3,3,2,千克,MASS,0.9793
109042506,11237102.415176392,24,9,7,2,个,COUNT,0.8326
103020903,11138787.696411133,22,12,6,2,个,COUNT,0.407
302010199,11071920.477050781,10,8,6,1,UNKNOWN,UNKNOWN,0.7413
109010704,11029566.206962584,17,7,6,2,个,COUNT,0.943
109031804,11027734.117168427,17,10,7,2,OTHER,OTHER,0.4458
104020406,11027173.86523438,5,4,3,1,个,COUNT,0.9986
109032101,10948131.028961182,15,7,7,3,个,COUNT,0.6233
110020201,10939279.70336914,8,5,5,2,立方米,VOLUME,0.512
106041007,10925139.925857544,17,9,8,2,批,BATCH,0.7025
